Metric,Result
Annotation properties metric,3.0716002257690986
Basic provenance metric,0.0
Classes per instances metric,1.0
Compatible datatype metric,0.6323812043355457
Deprecated terms metric,0.0
Dereferenceable uris metric,0.9866158138220856
Descriptions per instance metric,0.5998708228352642
Serialization formats metric,set()
Entities with no type metric,0.07565296026384383
Evidence metric,2.3501399419284636
Extensional conciseness metric,0.0
Human readable license metric,False
Instances with multiple types metric,0.0
Instances with no description metric,0.4001291771647358
Instances with no name metric,0.39999534496703654
Instances with no synonyms metric,0.999982543626387
Machine license metric,False
Misplaced class property metric,0.0
Misused properties metric,0.0
Multiple languages metric,0.0
Names per instance,0.6000046550329634
Relation per node,6.853582763399044
Reuse terms metric,0.9999294109342463
Synonyms per instance metric,1.7456373612945645e-05
Traceability of the data metric,0.0
Usage of undefined terms metric,1.7142000042855e-05
Used vocabularies metric,0.0
Valid format metric,True
