graph,Structural,Functional adequacy,Compatibility,Transferability,Operability,Reliability,Maintainability
assoc_d20labels,4.053968253968255,3.5416666666666665,3.0,1.0,1.0,2.5,2.333333333333333
assoc_d50labels,4.053968253968255,3.4583333333333335,3.0,1.0,1.0,2.5,2.333333333333333
assoc_d90labels,4.053968253968255,3.3583333333333334,3.0,1.0,1.0,2.5,2.333333333333333
assoc_d20descriptions,4.053968253968255,3.5666666666666664,3.0,1.0,1.0,2.5,2.333333333333333
assoc_d50descriptions,4.053968253968255,3.5666666666666664,3.0,1.0,1.0,2.5,2.333333333333333
assoc_d90descriptions,4.053968253968255,3.5666666666666664,3.0,1.0,1.0,2.5,2.333333333333333
assoc_a20language,4.053968253968255,3.5666666666666664,3.0,1.5,1.0,2.5,2.333333333333333
assoc_a50language,4.053968253968255,3.5666666666666664,3.0,2.0,1.0,2.5,2.333333333333333
assoc_a90language,4.053968253968255,3.5666666666666664,3.0,3.0,1.0,2.5,2.333333333333333
assoc_a20wrongDT,4.053968253968255,3.5666666666666664,3.0,1.0,1.0,2.5,2.333333333333333
assoc_a50wrongDT,3.895238095238095,3.5666666666666664,3.0,1.0,1.0,2.5,2.333333333333333
assoc_a90wrongDT,3.736507936507936,3.5666666666666664,3.0,1.0,1.0,2.5,2.333333333333333
