Metric,Result
Annotation properties metric,1.7352370689655172
Basic provenance metric,0.0
Classes per instances metric,1.0
Compatible datatype metric,0.0
Deprecated terms metric,0.0
Dereferenceable uris metric,0.8883948204251161
Descriptions per instance metric,0.1
Serialization formats metric,set()
Entities with no type metric,0.6455621736892418
Evidence metric,0.9875
Extensional conciseness metric,0.0
Human readable license metric,False
Instances with multiple types metric,0.0
Instances with no description metric,0.9
Instances with no name metric,0.0
Instances with no synonyms metric,1.0
Machine license metric,False
Misplaced class property metric,0.0
Misused properties metric,0.0
Multiple languages metric,0.0
Names per instance,1.0
Relation per node,3.5528545323661334
Reuse terms metric,0.9993299084208175
Synonyms per instance metric,0.0
Traceability of the data metric,0.0
Usage of undefined terms metric,0.00021527289427230586
Used vocabularies metric,0.0
Valid format metric,True
