Metric,Result
Annotation properties metric,1.4995248653785238
Basic provenance metric,0.0
Classes per instances metric,1.0
Compatible datatype metric,0.0
Deprecated terms metric,0.0
Dereferenceable uris metric,0.9781186555380104
Descriptions per instance metric,0.4995248653785239
Serialization formats metric,set()
Entities with no type metric,0.40275229357798165
Evidence metric,0.05701615457713019
Extensional conciseness metric,0.0
Human readable license metric,False
Instances with multiple types metric,0.0
Instances with no description metric,0.5004751346214761
Instances with no name metric,0.0
Instances with no synonyms metric,1.0
Machine license metric,False
Misplaced class property metric,0.0
Misused properties metric,0.0
Multiple languages metric,0.0
Names per instance,1.0
Relation per node,4.733811258667293
Reuse terms metric,0.9990237552879921
Synonyms per instance metric,0.0
Traceability of the data metric,0.0
Usage of undefined terms metric,0.00030322173089071384
Used vocabularies metric,0.0
Valid format metric,True
